feature	ham_probability	spam_probability
<num>	0.07204085668348967	0.05843658055098989
_	0.002557389096467622	0.016938031425340033
a	0.01440468697041592	0.015640327251281554
aa	5.136046402708574e-05	5.537347473614986e-05
aaa	3.846378363261928e-06	6.2518439218233715e-06
aaron	6.335211421843175e-06	5.061016508142729e-06
ab	2.9413481601414745e-05	2.322113456677252e-05
aba	9.050302031204536e-07	7.740378188924174e-06
abacha	2.262575507801134e-07	3.751106353094023e-05
abacus	7.919014277303969e-06	3.5724822410419264e-06
abandon	6.787726523403402e-06	4.7633096547225685e-06
abandoned	1.2444165292906237e-05	1.190827413680642e-05
abandoning	7.013984074183515e-06	5.954137068403211e-07
abash	2.262575507801134e-07	4.167895947882248e-06
abate	6.787726523403402e-07	6.847257628663692e-06
abazis	2.262575507801134e-07	1.101515357654594e-05
abb	2.669839099205338e-05	4.7633096547225685e-06
abbas	2.262575507801134e-07	5.65643021498305e-06
abbey	2.9413481601414743e-06	3.5724822410419264e-06
abbot	2.262575507801134e-07	5.061016508142729e-06
abbott	8.597786929644309e-06	4.465602801302408e-06
abbreviated	3.846378363261928e-06	5.954137068403211e-07
abby	3.1676057109215877e-06	5.358723361562889e-06
abc	8.145271828084082e-06	1.13128604299661e-05
abdominal	2.262575507801134e-07	1.548075637784835e-05
abe	2.262575507801134e-07	4.465602801302408e-06
abel	1.5611771003827826e-05	4.167895947882248e-06
aber	2.262575507801134e-07	5.95413706840321e-06
aberdeen	4.525151015602268e-07	3.870189094462087e-06
abernathy	4.525151015602268e-07	3.870189094462087e-06
abet	6.787726523403402e-07	4.167895947882248e-06
abetted	9.050302031204536e-07	3.870189094462087e-06
abide	2.715090609361361e-06	4.167895947882248e-06
abidjan	2.262575507801134e-07	2.4411961980453162e-05
abie	2.262575507801134e-07	1.2205980990226581e-05
abigail	4.072635914042041e-06	1.4885342671008026e-06
abiiity	2.262575507801134e-07	4.0190425211721674e-05
abilities	6.108953871063062e-06	2.977068534201605e-06
ability	0.0001364333031204084	0.00016999061330291167
abject	2.262575507801134e-07	4.7633096547225685e-06
ablaze	2.262575507801134e-07	7.144964482083853e-06
able	0.0003355399478069082	0.00023072281140062442
abn	1.0181589785105104e-05	6.549550775243532e-06
abnormal	9.050302031204536e-07	6.549550775243532e-06
abo	6.787726523403402e-07	4.7633096547225685e-06
aboard	3.393863261701701e-06	5.95413706840321e-06
aboriginal	4.525151015602268e-07	3.5724822410419264e-06
abort	1.3575453046806805e-06	5.358723361562889e-06
abortive	2.262575507801134e-07	4.7633096547225685e-06
abound	2.0363179570210205e-06	5.061016508142729e-06
about	0.001746029519370135	0.0012846050725079927
above	0.0003294309939358451	0.00036528630914653697
abr	4.525151015602268e-07	4.167895947882248e-06
abraham	4.072635914042041e-06	1.0419739869705618e-05
abram	2.262575507801134e-07	4.7633096547225685e-06
abrasive	1.1312877539005671e-06	3.5724822410419264e-06
abreast	3.1676057109215877e-06	4.7633096547225685e-06
abroad	2.9413481601414743e-06	5.328952676220873e-05
abrogate	4.525151015602268e-07	3.870189094462087e-06
abrupt	1.8100604062409072e-06	2.6793616807814447e-06
abruptly	7.013984074183515e-06	1.1908274136806421e-06
absence	4.525151015602268e-05	1.2503687843646743e-05
absent	6.561468972623289e-06	6.847257628663692e-06
absentminded	2.262575507801134e-07	5.65643021498305e-06
absolute	9.95533223432499e-06	3.6915649824099906e-05
absolutely	2.1494467324110773e-05	0.00012176210304884565
absorb	6.561468972623289e-06	4.7633096547225685e-06
absorbed	2.4888330585812476e-06	1.3099101550487064e-05
absorption	6.787726523403402e-07	4.465602801302408e-06
abstain	2.262575507801134e-07	3.870189094462087e-06
abstract	1.7421831410068733e-05	4.167895947882248e-06
abstruse	6.787726523403402e-07	3.870189094462087e-06
absurd	1.3575453046806805e-06	4.167895947882248e-06
abu	2.9413481601414743e-06	5.358723361562889e-06
abuja	2.262575507801134e-07	4.7633096547225685e-06
abundance	9.050302031204536e-07	2.977068534201605e-06
abundant	1.5838028554607938e-06	2.977068534201605e-06
abuse	1.0181589785105104e-05	7.353359279477966e-05
abused	1.3575453046806805e-06	2.6793616807814447e-06
abutting	2.262575507801134e-07	3.870189094462087e-06
abyssinia	2.262575507801134e-07	4.465602801302408e-06
ac	1.6290543656168164e-05	6.430468033875468e-05
academe	6.787726523403402e-07	3.870189094462087e-06
academia	1.8100604062409072e-06	2.977068534201605e-06
academic	2.5793360788932928e-05	1.667158379152899e-05
academics	9.502817132764764e-06	8.931205602604816e-07
academy	1.1312877539005671e-06	3.870189094462087e-06
acadia	2.262575507801134e-07	3.274775387621766e-05
acc	3.846378363261928e-06	3.274775387621766e-06
accelerate	1.3575453046806804e-05	6.549550775243532e-06
accelerated	8.824044480424424e-06	3.870189094462087e-06
accelerating	2.715090609361361e-06	2.3816548273612843e-06
accent	2.262575507801134e-07	5.358723361562889e-06
accentual	2.262575507801134e-07	4.465602801302408e-06
accenture	5.203923667942609e-06	2.9770685342016053e-07
accept	7.624879461289822e-05	0.00010122033016285459
acceptable	3.2128572210776105e-05	1.9053238618890274e-05
acceptance	4.208390444510109e-05	0.00015867775287294557
accepted	5.090794892552552e-05	4.257208003908296e-05
accepting	6.561468972623289e-06	3.483170185015878e-05
accepts	4.298893464822154e-06	1.190827413680642e-05
acceso	2.262575507801134e-07	6.549550775243532e-06
access	0.0004267217407712939	0.0002971114397133202
accessed	9.27655958198465e-06	1.190827413680642e-05
accessible	8.371529378864195e-06	1.3694515257327385e-05
accessing	1.6969316308508506e-05	8.038085042344335e-06
accessories	1.1312877539005671e-06	6.19230255113934e-05
accessory	2.262575507801134e-07	1.2503687843646743e-05
accident	6.787726523403402e-06	2.828215107491525e-05
accidentally	2.4888330585812476e-06	1.4885342671008026e-06
acclaim	4.525151015602268e-07	3.5724822410419264e-06
acclamation	2.262575507801134e-07	5.95413706840321e-06
accommodate	2.0136922019430093e-05	5.95413706840321e-06
accommodating	6.787726523403402e-07	3.5724822410419264e-06
accommodation	4.072635914042041e-06	4.167895947882248e-06
accommodations	9.050302031204537e-06	1.7862411205209632e-06
accomodate	6.335211421843175e-06	8.931205602604816e-07
accompanied	4.298893464822154e-06	2.083947973941124e-06
accompanies	4.977666117162495e-06	8.931205602604816e-07
accompaniment	2.262575507801134e-07	4.167895947882248e-06
accompanist	2.262575507801134e-07	4.465602801302408e-06
accompany	4.298893464822154e-06	5.65643021498305e-06
accompanying	7.919014277303969e-06	1.7862411205209632e-06
accompiish	2.262575507801134e-07	5.061016508142729e-06
accomplish	2.53408456873727e-05	2.203030715309188e-05
accomplished	1.131287753900567e-05	7.144964482083853e-06
accomplishing	2.0363179570210205e-06	2.3816548273612843e-06
accomplishment	4.298893464822154e-06	5.954137068403211e-07
accomplishments	3.665372322637837e-05	5.358723361562889e-06
accord	8.371529378864195e-06	1.190827413680642e-05
accordance	1.5611771003827826e-05	3.751106353094023e-05
according	0.0002278413536355742	0.0001268231195569884
accordingly	3.122354200765565e-05	1.3099101550487064e-05
account	0.00016154789125700098	0.0011440874376936769
accountability	1.063410488666533e-05	6.549550775243532e-06
accountable	5.430181218722722e-06	5.954137068403211e-07
accountant	1.5159255902267599e-05	2.0541772885991076e-05
accountants	1.6290543656168164e-05	1.4885342671008026e-06
accounted	1.923189181630964e-05	8.931205602604816e-07
accounting	0.0002839532262290423	9.258683141366992e-05
accounts	8.394155133942208e-05	0.00012712082641040855
accra	2.262575507801134e-07	8.335791895764495e-06
accredit	2.262575507801134e-07	5.358723361562889e-06
accreditation	9.050302031204536e-07	5.358723361562889e-06
accredited	6.787726523403402e-07	2.4709668833873326e-05
accretion	9.050302031204536e-07	3.5724822410419264e-06
accretive	4.751408566382382e-06	2.3816548273612843e-06
accrual	1.4932998351487486e-05	3.870189094462087e-06
accrue	2.715090609361361e-06	5.65643021498305e-06
accrued	5.203923667942609e-06	1.3099101550487064e-05
acct	2.4888330585812476e-06	2.3816548273612843e-06
acctg	4.977666117162495e-06	2.9770685342016053e-07
acculturate	2.262575507801134e-07	4.167895947882248e-06
accumuiated	2.262575507801134e-07	1.101515357654594e-05
accumuiation	2.262575507801134e-07	7.144964482083853e-06
accumulate	6.787726523403402e-06	1.2801394697066903e-05
accumulated	4.5251510156022686e-06	2.857985792833541e-05
accumulation	6.787726523403402e-07	1.0122033016285458e-05
accuracy	2.375704283191191e-05	0.00013932680740063512
accurate	3.642746567559826e-05	3.1259219609116855e-05
accurately	1.651680120694828e-05	8.038085042344335e-06
accusations	5.203923667942609e-06	2.977068534201605e-06
accuse	1.1312877539005671e-06	4.465602801302408e-06
accused	1.3122937945246577e-05	7.740378188924174e-06
accusing	2.715090609361361e-06	1.1908274136806421e-06
accustom	2.262575507801134e-07	3.870189094462087e-06
accustomed	1.5838028554607938e-06	2.977068534201605e-06
ace	6.108953871063062e-06	3.5724822410419264e-06
acerbic	2.262575507801134e-07	4.167895947882248e-06
ache	4.525151015602268e-07	7.144964482083853e-06
acheive	6.787726523403402e-07	2.738903051465477e-05
achieve	3.348611751545678e-05	9.735014106839249e-05
achieved	1.4254225699147144e-05	1.726699749836931e-05
achievement	5.203923667942609e-06	5.95413706840321e-06
achievements	4.977666117162495e-06	4.048813206514183e-05
achieving	7.013984074183515e-06	1.607617008468867e-05
acid	4.525151015602268e-07	1.190827413680642e-05
acidic	2.262575507801134e-07	4.167895947882248e-06
ack	1.3575453046806805e-06	4.465602801302408e-06
ackerman	4.977666117162495e-06	3.5724822410419264e-06
acknowledge	9.502817132764764e-06	1.577846323126851e-05
acknowledged	1.9458149367089754e-05	1.4885342671008026e-06
acknowledgement	2.4888330585812476e-06	4.465602801302408e-06
acknowledges	7.013984074183515e-06	2.9770685342016053e-07
acknowledging	4.072635914042041e-06	1.4885342671008026e-06
acl	9.050302031204536e-07	4.7633096547225685e-06
acme	2.262575507801134e-07	4.7633096547225685e-06
acorn	2.262575507801134e-07	3.870189094462087e-06
acoustic	6.787726523403402e-07	3.870189094462087e-06
acquaintance	1.3575453046806805e-06	6.847257628663692e-06
acquainted	1.3575453046806805e-06	2.6793616807814447e-06
acquiescent	4.525151015602268e-07	5.061016508142729e-06
acquire	5.0002918722405064e-05	0.00015480756377848348
acquired	4.095261669120053e-05	4.37629074527636e-05
acquirer	4.977666117162495e-06	2.9770685342016053e-07
acquires	5.203923667942609e-06	1.8457824912049953e-05
acquiring	1.923189181630964e-05	3.54271155569991e-05
acquisition	0.0001011371251987107	0.00019350945472310435
acquisitions	2.6924648542833496e-05	6.073219809771275e-05
